Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Sclerosis chorioideae";"DH311B"
"Dystrophia choroidalis hereditaria";"DH312"
"Atrophia gyrata chorioideae";"DH312A"
"Choroideremia";"DH312B"
"Dystrophia choroideae peripapillaris";"DH312C"
"Dystrophia choroideae areolaris";"DH312D"
"Dystrophia choroideae generalisata";"DH312E"
"Dystrophia choroideae centralis";"DH312F"
"Blødning eller ruptur i årehinden";"DH313"
"Haemorrhagia chorioideae expulsiva";"DH313A"
"Haemorrhagia chorioideae";"DH313B"
"Koroidalruptur";"DH313C"
"Koroidalløsning";"DH314"
"Anden forandring i årehinde";"DH318"
"Forandring i årehinde UNS";"DH319"
"Forandringer i øjets årehinde og nethinde ved sygdomme klassificeret andetsteds";"DH32"
"Korioretinitis ved infektiøs eller parasitær sygdom klassificeret andetsteds";"DH320"
"Anden forandring i øjets årehinde og nethinde ved sygdom klassificeret andetsteds";"DH328"
"Nethindeløsning";"DH33"
"Nethindeløsning med ruptur";"DH330"
"Nethindeløsning med ruptur, uden proliferativ vitreoretinopati (PVR)";"DH330A"
"Nethindeløsning med ruptur, uden proliferativ vitreoretinopati (PVR), tilliggende makula";"DH330A0"
"Nethindeløsning med ruptur, uden proliferativ vitreoretinopati (PVR), afløst makula";"DH330A1"
"Nethindeløsning med ruptur, med proliferativ vitreoretinopati (PVR)";"DH330B"
"Nethindeløsning med ruptur, med proliferativ vitreoretinopati (PVR), tilliggende makula";"DH330B0"
"Nethindeløsning med ruptur, med proliferativ vitreoretinopati (PVR), afløst makula";"DH330B1"
"Retinoskise eller cyste i retina";"DH331"
"Cystis retinae";"DH331A"
"Cystis orae serratae";"DH331B"
"Cystis retina e parasitica UNS";"DH331C"
"Pseudocystis retinae";"DH331D"
"Retinoschisis";"DH331E"
"Amotio retinae serosa";"DH332"
"Nethindeløsning uden ruptur";"DH332A"
"Ruptur af retina uden løsning";"DH333"
"Foramen retinae sine amotione";"DH333A"
"Operculum retinae sine amotione";"DH333B"
"Amotio retinae tractionis";"DH334"
"Proliferativ vitreoretinopati med amotio retinae";"DH334A"
"Diabetisk retinal traktionsamotio";"DH334B"
"Anden form for nethindeløsning";"DH335"
"Okklusion af retinale blodkar";"DH34"
"Transitorisk okklusion af retinalarterie";"DH340"
"Ischaemia transitoria retinae";"DH340A"
"Occlusio arteriae centralis retinae";"DH341"
"Embolia arteriae centralis retinae";"DH341A"
"Thrombosis arteriae centralis retinae";"DH341B"
"Anden form for okklusion af retinalarterie";"DH342"
"Kolesterolplaques i retina";"DH342A"
"Microembolus retinae";"DH342B"
"Occlusio arteriae retinae partialis";"DH342C"
"Anden vaskulær okklusion i retina";"DH348"
"Occlusio venae retinae incipiens";"DH348A"
"Occlusio venae retinae UNS";"DH348B"
"Occlusio venae retinae partialis";"DH348C"
"Occlusio venae centralis retinae";"DH348D"
"Thrombosis venae retinae UNS";"DH348E"
"Thrombosis venae centralis retinae";"DH348F"
"Okklusion af retinalt blodkar UNS";"DH349"
"Andre forandringer i øjets nethinde";"DH35"
"Retinopati og angiopati i retina";"DH350"
"Angiopathia retinae";"DH350A"
"Fundus hypertonicus";"DH350B"
"Retinalt mikroaneurisme";"DH350C"
"Neovascularisatio retinae";"DH350D"
"Perivasculitis retinae";"DH350E"
"Retinopathia exudativa";"DH350F"
"Retinopathia gravidarum";"DH350G"
"Hypertensiv retinopati";"DH350H"
"Retinopati UNS";"DH350I"
"Varices retinae";"DH350J"
"Vasculitis retinae";"DH350K"
"Præmaturitetsretinopati";"DH351"
"Retrolental fibroplasi";"DH351A"
"Anden proliferativ retinopati";"DH352"
"Epiretinal fibrose";"DH352A"
"Degeneratio maculae luteae et polus posterior retinae";"DH353"
"Cystis maculae luteae";"DH353A"
"Degeneratio disciformis maculae luteae";"DH353B"
"Degeneratio maculae luteae senilis";"DH353C"
"Degeneratio polus posterior retinae";"DH353D"
"Degeneratio maculae luteae";"DH353E"
"Foramen maculae luteae";"DH353F"
"Kuhnt-Junius degeneration";"DH353G"
"Maculopathia toxica";"DH353H"
"Våd aldersrelateret makuladegeneration med subretinal karnydannelse";"DH353J"
"Våd aldersrelateret makuladegeneration uden subretinal karnydannelse";"DH353K"
"Tør aldersrelateret makuladegeneration (AMD)";"DH353L"
"Vitreomakulær traktion";"DH353M"
"Lamellært makulært hul";"DH353N"
"Makulære druser";"DH353P"
"Angioid striae";"DH353Q"
"Perifer retinal degeneration";"DH354"
"Degeneratio retinae palisadis";"DH354A"
"Degeneratio retinae reticularis";"DH354B"
"Degeneratio retinae latticis";"DH354C"
"Degeneratio retinae microcystoidis";"DH354D"
"Familiær retinadystrofi";"DH355"
"Dystrophia retinae albi punctata";"DH355A"
"Dystrophia tapetoretinalis";"DH355B"
"Dystrophia retinae vitelliformis";"DH355C"
"Dystrophia vitreo retinalis";"DH355D"
"Dystrophia retinae pigmentaria";"DH355E"
"Stargardts sygdom";"DH355F"
"Retinal blødning";"DH356"
"Separation af retinale lag";"DH357"
"Amotio epithelii pigmenti retinae";"DH357A"
"Chorioretinopathia centralis serosa";"DH357B"
"Anden forandring i nethinde";"DH358"
"Retinale druser";"DH358A"
"Forandring i nethinde UNS";"DH359"
"Forandringer i øjets nethinde ved sygdomme klassificeret andetsteds";"DH36"
"Diabetisk retinopati UNS";"DH360"
"Simpel diabetisk retinopati";"DH360H"
"Proliferativ diabetisk retinopati";"DH360J"
"Diabetisk makulopati";"DH360K"
"Anden retinal forandring ved sygdom klassificeret andetsteds";"DH368"
"Retinopati ved anden sygdom klassificeret andetsteds";"DH368D"
"Retinal dystrofi ved anden sygdom klassificeret andetsteds";"DH368D1"
"Proliferativ retinopati ved anden sygdom klassificeret andetsteds";"DH368D2"
"Grøn stær [DH40-DH42]";""
"Glaukom";"DH40"
"Glaukom suspekt";"DH400"
"Okulær hypertension";"DH400A"
"Suspekt vinkellukning";"DH400B"
"Akut vinkellukning";"DH400C"
"Suspekt papilekskavation";"DH400D"
"Pseudoexfoliationssyndrom uden glaukom";"DH400E"
"Pigmentdispersionssyndrom uden glaukom";"DH400F"
"Okulær hypertension sekundært til øjeninflammation";"DH400G"
"Okulær hypertension sekundært til anden øjensygdom";"DH400H"
"Okulær hypertension sekundært til lægemiddel";"DH400J"
"Primært åbenvinklet glaukom";"DH401"
"Normaltryksglaukom";"DH401A"
"Primær lukketvinklet glaukom";"DH402"
"Glaukom sekundært til akut vinkellukning";"DH402D"
"Traumatisk glaukom";"DH403"
"Glaukom sekundært til øjeninflammation";"DH404"
"Glaukom sekundært til anden øjensygdom";"DH405"
"Glaukom sekundært til pseudoexfoliationssyndrom";"DH405A"
"Glaukom sekundært til pigmentdispersionssyndrom";"DH405B"
"Neovaskulært glaukom";"DH405C"
"Glaukom forårsaget af lægemiddel";"DH406"
"Anden form for glaukom";"DH408"
"Glaukom UNS";"DH409"
"Grøn stær ved sygdomme klassificeret andetsteds";"DH42"
"Glaukom ved endokrin, ernæringsbetinget eller metabolisk sygdom klassificeret andetsteds";"DH420"
"Glaukom ved anden sygdom klassificeret andetsteds";"DH428"
"Sygdomme i øjets glaslegeme og øjeæble[DH43-DH45]";""
"Forandringer i øjets glaslegeme";"DH43"
"Prolapsus corporis vitrei";"DH430"
"Blødning i øjets glaslegeme";"DH431"
"Krystallinske aflejringer i øjets glaslegeme";"DH432"
"Anden opacitet i øjets glaslegeme";"DH433"
"Membrani corpus vitreum";"DH433A"
"Anden forandring i øjets glaslegeme";"DH438"
"Degeneratio corporis vitrei";"DH438C"
"Kollaps af øjets glaslegeme";"DH438D"
"Forandring i øjets glaslegeme UNS";"DH439"
"Forandringer i øjeæblet";"DH44"
"Purulent endoftalmitis";"DH440"
"Absces i øjets glaslegeme";"DH440A"
"Panoftalmitis";"DH440B"
"Anden form for endoftalmitis";"DH441"
"Endoftalmitis forårsaget af parasit UNS";"DH441A"
"Ophthalmia sympathica";"DH441B"
"Ophthalmia nodosa";"DH441C"
"Uveitis sympathica";"DH441D"
"Panuveitis";"DH441E"
"Degenerativ myopi";"DH442"
"Anden degenerativ forandring i øjeæble";"DH443"
"Chalcosis";"DH443A"
"Siderosis oculi";"DH443B"
"Nedsat intraokulært tryk";"DH444"
"Degenerationsforandring i øjeæble";"DH445"
"Phthisis bulbi";"DH445C"
"Retineret intraokulært magnetisk fremmedlegeme";"DH446"
"Retineret intraokulært ikke-magnetisk fremmedlegeme";"DH447"
"Anden forandring øjeæble";"DH448"
"Anophthalmus acquisitus";"DH448A"
"Haemophthalmus";"DH448B"
"Luxatio bulbi oculi";"DH448C"
"Ikke-traumatisk orbitalt kompartmentsyndrom";"DH448D"
"Forandring i øjeæble UNS";"DH449"
"Forandringer i øjets glaslegeme og øjeæble ved sygdomme klassificeret andetsteds";"DH45"
"Blødning i øjets glaslegeme ved sygdom klassificeret andetsteds";"DH450"
"Endoftalmitis ved sygdom klassificeret andetsteds";"DH451"
"Anden forandring i øjets glaslegeme og øjeæble ved sygdom klassificeret andetsteds";"DH458"
"Sygdomme i synsnerve og synsbaner [DH46-DH48]";""
"Inflammationer i synsnerve";"DH46"
"Inflammation i synsnerve UNS";"DH469"
"Neuritis nervi optici retrobulbaris";"DH469A"
"Neuropathia optica non-ischaemica";"DH469B"
"Papillitis retinae";"DH469C"
"Andre forandringer i synsnerve og synsbaner";"DH47"
"Forandring i synsnerve IKA";"DH470"
"Kompression af synsnerven";"DH470A"
"Haemorrhagia vaginae nervi optici";"DH470B"
"Iskæmisk neuropati af synsnerven (AION)";"DH470C"
"Ødem af discus nervi optici UNS";"DH471"
"Optikusatrofi";"DH472"
"Pallor temporalis disci nervi optici";"DH472A"
"Anden forandring i synsnervepapillen";"DH473"
"Druser i synsnervepapillen";"DH473A"
"Pseudopapilødem";"DH473B"
"Forandring i chiasma opticum";"DH474"
"Forandring i de øvrige synsbaner";"DH475"
"Disordo tracti optici";"DH475A"
"Disordo corporis geniculati lateralis";"DH475B"
"Disordo radiationis opticae";"DH475C"
"Forandring i synsbarken";"DH476"
"Forandring i synsbane UNS";"DH477"
"Forandringer i synsnerve og synsbaner ved sygdomme klassificeret andetsteds";"DH48"
"Optikusatrofi ved sygdom klassificeret andetsteds";"DH480"
"Retrobulbær neuritis ved sygdom klassificeret andetsteds";"DH481"
"Anden forandring i synsnerve og synsbaner ved sygdom klassificeret andetsteds";"DH488"
"Forstyrrelser i øjenmuskler, samsynsfunktion, akkommodation og refraktion [DH49-DH52]";""
"Skelen ved lammelse af øjenmuskler";"DH49"
"Okulomotoriusparese";"DH490"
"Troklearisparese";"DH491"
"Abducensparese";"DH492"
"Total oftalmoplegi";"DH493"
"Progressiv ekstern oftalmoplegi";"DH494"
"Anden skelen forårsaget af lammelse";"DH498"
"Kearns-Sayres syndrom";"DH498A"
"Ekstern oftalmoplegi UNS";"DH498B"
"Skelen ved lammelse UNS";"DH499"
"Andre former for skelen";"DH50"
"Konvergent konkomiterende skelen";"DH500"
"Esotropia alternans";"DH500A"
"Esotropia monocularis";"DH500B"
"Divergent konkomiterende skelen";"DH501"
"Exotropia monocularis";"DH501A"
"Exotropia alternans";"DH501B"
"Vertikal skelen";"DH502"
"Hypertropia";"DH502A"
"Hypotropia";"DH502B"
"Heterotropia intermittens";"DH503"
"Esotropia intermittens monocularis";"DH503A"
"Esotropia intermittens alternans";"DH503B"
"Exotropia intermittens monocularis";"DH503C"
"Exotropia intermittens alternans";"DH503D"
"Anden eller ikke specificeret heterotropi";"DH504"
"Cyclotropi";"DH504A"
"Heterotropi UNS";"DH504B"
"Mikrotropi";"DH504E"
"Monofiksationssyndrom";"DH504F"
"Strabismus concomitans UNS";"DH504G"
"Heterofori";"DH505"
"Esofori";"DH505A"
"Eksofori";"DH505B"
"Hyperphoria alternans";"DH505C"
"Strabismus mechanicus";"DH506"
"Browns skede syndrom";"DH506A"
"Skelen forårsaget af adhærencer";"DH506B"
"Anden form for skelen";"DH508"
"Duanes syndrom";"DH508A"
"Skelen UNS";"DH509"
"Andre forstyrrelser i samsynsfunktionen";"DH51"
"Konjugeret blikparese";"DH510"
"Konvergensforstyrrelse";"DH511"
"Internukleær oftalmoplegi";"DH512"
"Anden forstyrrelse i samsynsfunktionen";"DH518"
"Forstyrrelse i samsynsfunktionen UNS";"DH519"
"Forstyrrelser i refraktion og akkommodation";"DH52"
"Hypermetropi";"DH520"
"Myopi";"DH521"
"Astigmatisme";"DH522"
"Uregelmæssig astigmatisme";"DH522A"
"Anisometropi eller aniseikoni";"DH523"
"Aniseikoni";"DH523A"
"Anisometropi";"DH523B"
"Presbyopia";"DH524"
"Akkommodationsforstyrrelse UNS";"DH525"
"Akkommodationsspasme";"DH525A"
"Ophthalmoplegia interna (partialis) (totalis)";"DH525B"
"Anden refraktionsanomali";"DH526"
"Refraktionsanomali UNS";"DH527"
"Synsforstyrrelser og blindhed [DH53-DH54]";""
"Synsforstyrrelser";"DH53"
"Amblyopia ex anopsia";"DH530"
"Amblyopia strabismica";"DH530A"
"Amblyopia deprivationis";"DH530B"
"Amblyopia anisometropica";"DH530C"
"Subjektive synsforstyrrelser";"DH531"
"Asthenopia";"DH531A"
"Dagblindhed";"DH531B"
"Halovisus";"DH531C"
"Metamorphopsia";"DH531D"
"Photophobia";"DH531F"
"Scotoma scintillans";"DH531G"
"Pludseligt synstab";"DH531H"
"Dobbeltsyn";"DH532"
"Andre forstyrrelser i det binokulære syn";"DH533"
"Synsfusion med defekt stereopsi";"DH533A"
"Abnorm retinal korrespondance";"DH533B"
"Suppression af binokulært syn";"DH533C"
"Simultan visuel perception uden fusion";"DH533D"
"Synsfeltsdefekter";"DH534"
"Anopsia quadrantis";"DH534A"
"Forstørret blind plet";"DH534B"
"Hemianopsia homonyma";"DH534C"
"Hemianopsia heteronyma";"DH534D"
"Scotoma annulare";"DH534E"
"Scotoma Bjerrum";"DH534F"
"Scotoma centrale";"DH534G"
"Scotoma arcuatum";"DH534H"
"Generel synsfeltsbegrænsning";"DH534I"
"Farvesyns defekter";"DH535"
"Achromatopsia acquisita";"DH535A"
"Deuteranomalia";"DH535B"
"Deuteranopi";"DH535C"
"Protanomalia";"DH535D"
"Protanopia";"DH535E"
"Tritanomalia";"DH535F"
"Tritanopia";"DH535G"
"Achromatopsia";"DH535H"
"Natteblindhed";"DH536"
"Anden synsforstyrrelse";"DH538"
"Synsforstyrrelse UNS";"DH539"
"Blindhed og svagsyn";"DH54"
"Dobbeltsidig blindhed";"DH540"
"Svær synsnedsættelse på begge øjne";"DH541"
"Moderat synsnedsættelse på begge øjne";"DH542"
"Let eller ingen synsnedsættelse på begge øjne";"DH543"
"Blindhed på et øje";"DH544"
"Svær synsnedsættelse på eet øje";"DH545"
"Moderat synsnedsættelse på eet øje";"DH546"
"Synsnedsættelse UNS";"DH547"
"Andre sygdomme i øje og øjenomgivelser [DH55-DH59]";""
"Nystagmus og andre abnorme øjenbevægelser";"DH55"
"Nystagmus UNS";"DH559"
"Nystagmus deprivatus";"DH559A"
"Nystagmus latens";"DH559B"
"Nystagmus dissociatus";"DH559C"
"Nystagmus congenitus";"DH559D"
"Abnorme øjenbevægelser UNS";"DH559X"
"Andre abnorme tilstande i øje og øjenomgivelser";"DH57"
"Abnorm pupilfunktion";"DH570"
"Adies pupil";"DH570A"
"Øjensmerter";"DH571"
"Anden abnorm tilstand i øje eller øjenomgivelser";"DH578"
"Abnorm tilstand i øje eller øjenomgivelser UNS";"DH579"
"Andre sygdomme i øje og øjenomgivelser ved sygdomme klassificeret andetsteds";"DH58"
"Abnorm pupilfunktion ved sygdom klassificeret andetsteds";"DH580"
"Synsforstyrrelse ved sygdom klassificeret andetsteds";"DH581"
"Anden sygdom i øje ved sygdom klassificeret andetsteds";"DH588"
"Forandringer i øje og øjenomgivelser efter indgreb IKA";"DH59"
"Bulløs keratopati ved afaki efter kataraktoperation";"DH590"
"Anden sygdom i øje eller øjenomgivelser efter indgreb";"DH598"
"Korioretinalt ar efter indgreb for nethindeløsning";"DH598A"
"Postoperativ endoftalmi";"DH598B"
"Forandring i øje eller øjenomgivelser efter indgreb UNS";"DH599"
"Kap. VIII: Sygdomme i øre og processus mastoideus [DH60-DH95]";""
"Sygdomme i ydre øre [DH60-DH62]";""
"Betændelse i ydre øre";"DH60"
"Absces i ydre øre";"DH600"
"Absces i ydre øregang";"DH600A"
"Flegmone i ydre øre";"DH601"
"Flegmone i ydre øregang";"DH601B"
"Malign ekstern otitis";"DH602"
"Anden form for ekstern infektiøs otitis";"DH603"
"Badeotitis";"DH603A"
"Otitis externa haemorrhagica";"DH603B"
"Otitis externa diffusa";"DH603C"
"Kolesteatom i ydre øre";"DH604"
"Keratosis obturans meatus acustici externi";"DH604A"
"Akut ikke-infektiøs ekstern otitis";"DH605"
"Akut eksem i ydre øre";"DH605B"
"Anden form for ekstern otitis";"DH608"
"Kronisk ekstern otitis UNS";"DH608A"
"Ekstern otitis UNS";"DH609"
"Andre sygdomme i ydre øre";"DH61"
"Perikondritis i ydre øre";"DH610"
"Chondrodermatitis nodularis helicis";"DH610A"
"Ikke-infektiøs sygdom i øremusling";"DH611"
"Erhvervet misdannelse af øremusling";"DH611A"
"Cerumen impactum";"DH612"
"Cerumen excessivum";"DH612A"
"Erhvervet forsnævring af ydre øregang";"DH613"
"Anden sygdom i ydre øre";"DH618"
"Eksostose i ydre øregang";"DH618A"
"Sygdom i ydre øre UNS";"DH619"
"Forandringer i ydre øre ved sygdomme klassificeret andetsteds";"DH62"
"Ekstern otitis ved bakteriel sygdom klassificeret andetsteds";"DH620"
"Ekstern otitis ved virussygdom klassificeret andetsteds";"DH621"
"Ekstern otitis ved mykose klassificeret andetsteds";"DH622"
"Ekstern otitis ved anden infektiøs eller parasitær sygdom klassificeret andetsteds";"DH623"
"Ekstern otitis ved anden sygdom klassificeret andetsteds";"DH624"
"Anden forandring i ydre øre ved sygdom klassificeret andetsteds";"DH628"
"Sygdomme i mellemøre og processus mastoideus [DH65-DH75]";""
"Mellemørebetændelse uden pusdannelse";"DH65"
"Akut serøs mellemørebetændelse";"DH650"
"Otitis media secretorica subacuta";"DH650A"
"Anden form for akut mellemørebetændelse uden pusdannelse";"DH651"
"Akut mellemørebetændelse uden pusdannelse UNS";"DH651C"
"Subakut mellemørebetændelse uden pusdannelse UNS";"DH651D"
"Kronisk serøs mellemørebetændelse";"DH652"
"Kronisk mucinøs mellemørebetændelse";"DH653"
"Anden form for kronisk mellemørebetændelse uden pusdannelse";"DH654"
"Kronisk mellemørebetændelse uden pusdannelse UNS";"DH654C"
"Mellemørebetændelse uden pusdannelse UNS";"DH659"
"Purulent og ikke specificeret mellemørebetændelse";"DH66"
"Akut purulent mellemørebetændelse";"DH660"
"Otitis media acuta perforata";"DH660A"
"Kronisk purulent tubotympanisk mellemørebetændelse";"DH661"
"Kronisk purulent attikoantral mellemørebetændelse";"DH662"
"Anden form for kronisk purulent mellemørebetændelse";"DH663"
"Purulent mellemørebetændelse UNS";"DH664"
"Mellemørebetændelse UNS";"DH669"
"Mellemørebetændelse ved sygdomme klassificeret andetsteds";"DH67"
"Mellemørebetændelse ved bakteriel sygdom klassificeret andetsteds";"DH670"
"Mellemørebetændelse ved virussygdom klassificeret andetsteds";"DH671"
"Mellemørebetændelse ved anden sygdom klassificeret andetsteds";"DH678"
"Betændelse og tillukning af det eustakiske rør";"DH68"
"Otosalpingitis";"DH680"
"Tillukning af det eustakiske rør";"DH681"
"Andre sygdomme i det eustakiske rør";"DH69"
"Tuba auditiva patulosa";"DH690"
"Anden sygdom i det eustakiske rør";"DH698"
"Sygdom i det eustakiske rør UNS";"DH699"
"Mastoiditis og beslægtede sygdomme";"DH70"
"Akut mastoiditis";"DH700"
"Kronisk mastoiditis";"DH701"
"Petrositis";"DH702"
"Anden form for mastoiditis og beslægtede sygdom";"DH708"
"Mastoiditis UNS";"DH709"
"Kolesteatom i mellemøre";"DH71"
"Kolesteatom i mellemøre UNS";"DH719"
"Perforation af trommehinde";"DH72"
"Central perforation af trommehinde";"DH720"
"Atticus-perforation af trommehinde";"DH721"
"Pars flaccida-perforation af trommehinde";"DH721A"
"Anden form for marginal perforation af trommehinde";"DH722"
"Anden form for perforation af trommehinde";"DH728"
"Total perforation af trommehinde";"DH728A"
"Multiple perforationer af trommehinde";"DH728B"
"Perforation af trommehinde UNS";"DH729"
"Anden sygdom i trommehinde";"DH73"
"Akut trommehindebetændelse";"DH730"
"Bulløs trommehindebetændelse";"DH730A"
"Kronisk trommehindebetændelse";"DH731"
"Anden sygdom i trommehinde";"DH738"
"Trommehinderetraktion";"DH738A"
"Sygdom i trommehinde UNS";"DH739"
"Andre sygdomme i mellemøre og processus mastoideus";"DH74"
"Tympanosklerose";"DH740"
"Sammenvoksninger i mellemøret";"DH741"
"Luksation af øreknogler";"DH742"
"Anden erhvervet abnormitet i øreknogler";"DH743"
"Ankylosis ossiculae auditus";"DH743A"
"Delvis destruktion af øreknogle";"DH743B"
"Polyp i mellemøre";"DH744"
"Anden sygdom i mellemøre eller processus mastoideus";"DH748"
"Sygdom i mellemøre eller processus mastoideus UNS";"DH749"
"Andre sygdomme i mellemøre og processus mastoideus ved sygdomme klassificeret andetsteds";"DH75"
"Mastoiditis ved infektiøs eller parasitær sygdom klassificeret andetsteds";"DH750"
"Anden sygdom i mellemøre eller processus mastoideus ved sygdom klassificeret andetsteds";"DH758"
"Sygdomme i indre øre [DH80-DH83]";""
"Otosklerose";"DH80"
"Otosklerose som involverer det ovale vindue, ikke-oblitererende";"DH800"
"Otosklerose som involverer det ovale vindue, oblitererende";"DH801"
"Kokleær otosklerose";"DH802"
"Anden form for otosklerose";"DH808"
"Otosklerose UNS";"DH809"
"Forstyrrelser i ligevægtssansen";"DH81"
"Ménières sygdom";"DH810"
"Endolymfatisk hydrops";"DH810A"
"Vertigo paroxystica benigna";"DH811"
"Vestibularis neuritis";"DH812"
"Anden form for perifer vertigo";"DH813"
"Lermoyez' syndrom";"DH813A"
"Vertigo auralis labyrinthica";"DH813B"
"Perifer vertigo UNS";"DH813C"
"Otogen vertigo";"DH813D"
"Central vertigo";"DH814"
"Nystagmus positionalis centralis";"DH814A"
"Anden forstyrrelse i ligevægtssansen";"DH818"
"Forstyrrelse i ligevægtssansen UNS";"DH819"
"Svimmelhed ved sygdomme klassificeret andetsteds";"DH82"
"Vertigo ved sygdom klassificeret andetsteds";"DH829"
"Andre sygdomme i indre øre";"DH83"
"Labyrintitis";"DH830"
"Labyrintfistel";"DH831"
"Labyrintdysfunktion";"DH832"
"Labyrinthypersensibilitet";"DH832A"
"Labyrinthypofunktion";"DH832B"
"Støjskade på indre øre";"DH833"
"Trauma acustica";"DH833A"
"Anden sygdom i indre øre";"DH838"
"Sygdom i indre øre UNS";"DH839"
"Andre sygdomme i øre [DH90-DH95]";""
"Konduktivt og perceptivt høretab";"DH90"
"Dobbeltsidigt konduktivt høretab";"DH900"
"Enkeltsidigt konduktivt høretab med normal hørelse på modsat side";"DH901"
"Konduktivt høretab UNS";"DH902"
"Dobbeltsidigt perceptivt høretab";"DH903"
"Enkeltsidigt perceptivt høretab med normal hørelse på modsat side";"DH904"
"Perceptivt høretab UNS";"DH905"
"Neuralt høretab UNS";"DH905A"
"Centralt høretab UNS";"DH905B"
"Sensorisk høretab UNS";"DH905C"
"Sensorineuralt høretab UNS";"DH905D"
"Medfødt døvhed UNS";"DH905E"
"Dobbeltsidigt blandet konduktivt og perceptivt høretab";"DH906"
"Enkeltsidigt blandet konduktivt og perceptivt høretab med normal hørelse på modsat side";"DH907"
"Blandet konduktivt og perceptivt høretab UNS";"DH908"
"Andre former for høretab";"DH91"
"Ototoksisk høretab";"DH910"
"Aldersbetinget høretab";"DH911"
"Akut idiopatisk høretab";"DH912"
"Akut høretab UNS";"DH912A"
"Døvstumhed IKA";"DH913"
"Andet høretab";"DH918"
"Medfødt ikke-arveligt høretab UNS";"DH918A"
"Medfødt ikke-arveligt høretab, asfyksi";"DH918A1"
"Medfødt ikke-arveligt høretab, rhesus-immunisering";"DH918A2"
"Medfødt ikke-arveligt høretab, CMV";"DH918A3"
"Medfødt ikke-arveligt høretab, toksoplasmose";"DH918A4"
"Medfødt ikke-arveligt høretab, rubella";"DH918A5"
"Høretab UNS";"DH919"
"Høretab for høje toner UNS";"DH919A"
"Høretab for dybe toner UNS";"DH919B"
"Øresmerter og øreflåd";"DH92"
"Øresmerter";"DH920"
"Øreflåd";"DH921"
"Blødning fra øre";"DH922"
"Andre øresygdomme IKA";"DH93"
"Degenerativ eller vaskulær sygdom i øre";"DH930"
"Degenerativ lidelse i øre";"DH930A"
"Vaskulær lidelse i øre";"DH930B"
"Forbigående iskæmisk døvhed";"DH930C"
"Tinnitus";"DH931"
"Anden perceptiv hørelidelse";"DH932"
"Diplacusis";"DH932A"
"Hyperacusis";"DH932B"
"Temporære skift i høretærskel";"DH932C"
"Sygdom i hørenerven";"DH933"
"Auditiv neuropati";"DH933A"
"Auditory processing disorder (APD)";"DH933B"
"Anden øresygdom";"DH938"
"Sent arveligt høretab";"DH938A"
"Sygdom i øre UNS";"DH939"
"Andre øresygdomme ved sygdom klassificeret andetsteds";"DH94"
"Auditiv neuropati ved infektiøs eller parasitær sygdom klassificeret andetsteds";"DH940"
"Anden øresygdom ved sygdom klassificeret andetsteds";"DH948"
"Immunologisk høretab";"DH948A"
"Sygdomme i øre og processus mastoideus efter indgreb IKA";"DH95"
"Recidiverende kolesteatom i kavitet efter mastektomi";"DH950"
"Anden følgetilstand efter mastoidektomi";"DH951"
"Mukøs cyste i kavitet efter mastoidektomi";"DH951A"
"Granulationsvæv i kavitet efter mastoidektomi";"DH951B"
"Kronisk mastoiditis efter mastoidektomi";"DH951C"
"Anden sygdom i øre eller processus mastoideus efter indgreb";"DH958"
"Sygdom i øre eller processus mastoideus efter indgreb UNS";"DH959"
"Kap. IX: Sygdomme i kredsløbsorganer [DI00-DI99]";""
"Gigtfeber [DI00-DI02]";""
"Gigtfeber uden affektion af hjertet";"DI00"
"Gigtfeber uden hjertesygdom";"DI009"
"Subakut reumatisk feber UNS";"DI009A"
"Akut reumatisk feber UNS";"DI009B"
"Akut gigtfeber med affektion af hjertet";"DI01"
"Akut reumatisk perikarditis";"DI010"
"Akut reumatisk endokarditis";"DI011"
"Akut reumatisk hjerteklapsygdom";"DI011A"
"Akut reumatisk myokarditis";"DI012"
"Anden form for akut reumatisk hjertesygdom";"DI018"
"Akut reumatisk pankarditis";"DI018A"
"Akut reumatisk hjertesygdom UNS";"DI019"
"Reumatisk chorea";"DI02"
"Reumatisk chorea med affektion af hjertet";"DI020"
"Chorea UNS med affektion af hjertet";"DI020A"
"Reumatisk chorea uden affektion af hjertet";"DI029"
"Kroniske reumatiske hjertesygdomme [DI05-DI09]";""
"Reumatiske affektioner af mitralklappen";"DI05"
"Reumatisk mitralstenose";"DI050"
"Reumatisk mitralinsufficiens";"DI051"
"Reumatisk mitralstenose med insufficiens";"DI052"
"Anden form for reumatisk mitralklapaffektion";"DI058"
"Reumatisk mitralklapaffektion UNS";"DI059"
"Reumatiske affektioner af aortaklappen";"DI06"
"Reumatisk aortaklapstenose";"DI060"
"Reumatisk aortaklapinsufficiens";"DI061"
"Reumatisk aortaklapstenose med insufficiens";"DI062"
"Anden form for reumatisk aortaklapaffektion";"DI068"
"Reumatisk aortaklapaffektion UNS";"DI069"
"Reumatiske affektioner af trikuspidalklappen";"DI07"
"Reumatisk trikuspidalstenose";"DI070"
"Reumatisk trikuspidalinsufficiens";"DI071"
"Reumatisk trikuspidalstenose med insufficiens";"DI072"
"Anden form for reumatisk trikuspidalklapaffektion";"DI078"
"Reumatisk trikuspidalklapaffektion UNS";"DI079"
